0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 53260711
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/images/pic2.jpg HTTP/1.1" 200 4304770
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/images/pic1.jpg HTTP/1.1" 200 10969037
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 13054375
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 8360
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/images/pic1.jpg HTTP/1.1" 200 10969037
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/images/pic2.jpg HTTP/1.1" 200 4304770
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 7483815
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 8360
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/images/pic1.jpg HTTP/1.1" 200 10969037
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/images/pic2.jpg HTTP/1.1" 200 4304770
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 7483815
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:39 -0700] "GET /Online_Hotel_Reservation_System/Images/Tendura%201.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:39 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:58 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:58 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:00 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:00 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:00 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:01 -0700] "GET /Online_Hotel_Reservation_System/Images/Tendura%201.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:01 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:01 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:01 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/css/login.css HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:02 -0700] "GET /Online_Hotel_Reservation_System/js/register.js HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [05/May/2025:05:48:03 -0700] "GET /Online_Hotel_Reservation_System/Register.jsp HTTP/1.1" 200 3827
